FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8537101000,76,11,U,30,8,6,1070,4348689,0.0,45.0,2.8,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,8537109000,76,11,U,24,7,5,383,1555089,0.0,16.09,1.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,9025199000,76,11,U,36,2,2,652,2650530,0.0,27.43,1.71,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,9026109000,76,11,U,56,19,15,1731,7031970,0.0,72.77,4.52,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,9032100000,76,11,U,12,0,0,422,1713803,0.0,17.74,1.1,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,9032200000,76,11,U,764,426,320,18986,77145978,0.0,798.34,49.64,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,9032899000,76,11,U,24,7,6,442,1795761,0.0,18.58,1.16,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,198,1,8,2,9405119000,11,11,U,223,270,247,6352,25845387,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,199,1,8,1,8207132000,5,11,U,1,146,144,2238,8735797,2238.49,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,199,1,8,2,3215909000,11,33,KG,29,29,29,2139,8354827,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,199,1,8,2,8443990000,11,11,U,15,29,29,785,3066171,0.0,0.0,0.0,0.0
2309,3,239,ECU,3,BOG,11,0,580,1,199,1,8,2,9023009000,11,11,U,22,1157,1135,91981,363018156,0.0,0.0,0.0,0.0
