FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2309,3,105,BRA,3,BOG,68,5,105,1,198,1,8,2,2710191500,68,67,M3,3238,2673881,2673881,2342395,9493448328,0.0,0.0,0.0,0.0
2309,3,105,BRA,3,BOG,76,9,169,1,198,1,8,1,3923299000,76,11,U,1080621,420,327,8405,33947126,7159.73,4292.0,0.0,240.0
2309,3,105,BRA,3,BOG,85,9,249,1,104,2,8,2,8421230000,76,11,U,500,131,100,6570,26931744,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,0,580,1,198,1,8,2,6104630000,5,11,U,152,54,52,2645,10443522,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,0,580,1,198,1,8,2,6106200000,5,11,U,80,28,27,988,3901316,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,0,580,1,198,1,8,2,6204620000,5,11,U,490,256,256,11575,45706203,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,0,580,1,198,1,8,2,6211420000,5,11,U,35,12,12,791,3122987,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,23,1,198,1,8,2,3307490000,5,33,KG,3066,3227,3066,13125,52470338,0.0,0.0,0.0,1277.0
2309,3,249,USA,3,BOG,5,3,253,1,4,1,8,2,9805000000,5,11,U,6,133,91,750,3047520,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,253,1,198,1,8,2,810905000,5,33,KG,1553,2011,1553,9876,39445210,0.0,2424.4,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,5,2,603199010,5,11,U,295010,41622,38888,143504,578118920,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,5,2,603199090,5,11,U,500,3,3,20,81267,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,5,2,604200000,5,33,KG,378,393,378,2242,9007456,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,6,2,603199010,5,11,U,9284,1234,1168,4767,19041184,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,302710000,5,33,KG,335384,361376,335384,1491797,6047386155,0.0,201514.7,0.0,163.94
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,304310000,5,33,KG,342332,368861,342332,2688401,10898130411,0.0,363154.16,0.0,295.44
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,603141000,5,11,U,10920,436,422,1856,7253345,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,603149000,5,11,U,35220,1596,1445,8653,33780168,0.0,0.0,0.0,0.0
2309,3,249,USA,3,BOG,5,3,493,1,198,1,8,2,603192000,5,11,U,300,20,16,39,152381,0.0,0.0,0.0,0.0
